ID,Price,Period,Area,Size,JR,St.time,Age,Distance,Address
1,3150,0,168,113,0,3,7,10,KANNONDAI
2,3150,0,177,126,0,4,20,6,SATSUKIGAOKA
3,3500,0,244,77,0,4,21,15,AJINADAI
4,6500,0,370,192,0,6,8,13,SAKATAHONMACHI
5,3800,0,148,105,0,7,0,13,SAKATA
6,2890,0,309,128,1,7,8,17,MIYAJIMADAI
7,3170,0,185,115,0,2,8,10,HIGASHIKANNONDAI
8,3390,0,110,100,0,3,0,11,MINORI
9,3650,0,216,131,0,6,10,15,AJINADAI
10,3500,0,235,105,0,1,0,13,KAMIHERA
11,3880,0,112,101,0,3,0,6,INOKUCHI
12,3950,0,110,102,0,2,0,10,ITSUKAICHI
13,4400,0,123,104,0,2,0,6,INOKUCHIDAI
14,4600,0,132,103,1,7,0,15,AJINADAI
15,5980,0,187,122,0,4,14,6,INOKUCHI
16,2450,0,101,98,0,4,0,9,YAHATA
17,3480,0,102,101,0,2,0,14,JIGOZEN
18,3880,0,141,105,0,6,0,12,SUMIYOSHIDAI
19,2980,0,197,96,0,9,13,13,SAKATA
20,800,0,77,53,0,3,25,13,SAKATA
21,2000,0,69,79,0,5,18,10,ITSUKAICHICHUO
22,2670,0,167,80,0,5,19,7,MISUZUGAOKA
23,2980,0,178,115,0,5,8,16,SHIKIGAOKA
24,2980,0,198,113,0,2,17,17,ONO
25,3980,0,121,102,0,7,0,11,RAKURAKUEN
26,4400,0,124,105,0,1,0,6,INOKUCHIDAI
27,4570,0,117,104,0,1,0,6,INOKUCHIDAI
28,3480,0,139,108,0,3,0,9,YAHATA
29,3800,0,163,86,1,2,17,12,EKIMAE
30,2450,0,195,110,1,5,17,15,AJINADAI
31,4400,0,123,104,0,1,0,6,INOKUCHIDAI
32,2300,0,170,75,0,2,14,11,MIYAKE
33,2880,0,204,101,0,2,20,17,AOBADAI
34,2980,0,174,98,0,5,20,7,MISUZUGAOKA
35,3300,0,219,118,0,2,18,15,AJINADAI
36,3380,0,153,102,0,3,0,6,SATSUKIGAOKA
37,3660,0,176,96,0,10,0,6,INOKUCHI
38,3180,0,105,104,0,5,0,10,TOSHIMATSU
39,3750,0,112,98,0,5,0,10,KAIROEN
40,4180,0,108,113,1,3,0,11,TENJIN
41,1380,0,58,64,0,2,14,12,SAKURAO
42,2690,0,103,88,1,8,11,6,INOKUCHI
43,1680,0,100,71,0,2,21,13,MIYAUCHI
44,2580,0,110,99,1,7,23,8,TOSUIEN
45,2780,0,116,84,0,5,10,10,ITSUKAICHICHUO
46,2890,0,462,139,0,4,16,17,TAIGENZAN
47,3080,0,186,116,0,5,6,16,SHIKIGAOKA
48,2980,0,183,106,0,3,9,16,SHIKIGAOKA
49,3050,0,127,101,0,1,0,10,YAKUSHIGAOKA
50,2980,0,103,88,1,7,11,6,INOKUCHI
51,2780,0,166,122,0,1,8,9,FUJINOKIDAI
52,3880,0,150,103,1,2,2,17,MIYAJIMAGUCHI
53,3680,0,219,138,0,3,8,15,MIYAZONO
54,3730,0,148,103,0,9,0,13,SAKATA
101,1480,1,110,67,0,3,23,8,YAHATAHIGASHI
102,2000,1,188,116,0,5,25,19,MAEZORA
103,2050,1,180,104,0,4,21,10,YAKUSHIGAOKA
104,2170,1,166,89,0,1,21,3,KOIOSAKO
105,2180,1,171,109,0,1,10,9,FUJINOKI
106,2290,1,216,101,0,1,23,6,SATSUKIGAOKA
107,2300,1,173,91,0,3,21,7,MISUZUGAOKAHIGASHI
108,2380,1,219,82,0,5,20,17,AOBADAI
109,1380,1,131,91,0,5,24,13,KAMIHERA
110,3590,1,105,100,1,8,8,8,TOSUIEN
111,2630,1,100,98,0,2,0,10,KANNONDAI
112,2680,1,191,111,0,5,9,16,SHIKIGAOKA
113,2880,1,204,103,0,5,14,15,AJINADAI
114,3080,1,187,121,0,2,6,10,AYAGAOKA
115,3200,1,114,83,0,2,14,6,INOKUCHI
116,3550,1,165,129,0,10,18,12,SUMIYOSHI
117,3790,1,145,108,0,3,0,9,MISUZUEN
118,5300,1,198,159,0,7,10,5,FURUENISHIMACHI
119,3190,1,138,104,0,3,0,10,ITSUKAICHICHO
120,2780,1,169,93,0,3,19,7,MISUZUGAOKANISHI
121,4100,1,167,116,0,8,0,7,MISUZUGAOKAHIGASHI
122,5580,1,136,108,0,4,0,3,KOGOKITA
123,1280,1,215,92,0,2,25,13,MIYAUCHI
124,2480,1,183,95,0,8,9,15,MIYAZONO
125,2580,1,173,142,0,5,7,9,FUJINOKI
126,2880,1,136,114,0,5,7,10,KANNONDAI
