car name,mpg,displacement,weight,model year,origin
chevrolet chevelle malibu,18,307,3504,70,1
buick skylark 320,15,350,3693,70,1
plymouth satellite,18,318,3436,70,1
amc rebel sst,16,304,3433,70,1
ford torino,17,302,3449,70,1
ford galaxie 500,15,429,4341,70,1
chevrolet impala,14,454,4354,70,1
plymouth fury iii,14,440,4312,70,1
pontiac catalina,14,455,4425,70,1
amc ambassador dpl,15,390,3850,70,1
dodge challenger se,15,383,3563,70,1
plymouth 'cuda 340,14,340,3609,70,1
chevrolet monte carlo,15,400,3761,70,1
buick estate wagon (sw),14,455,3086,70,1
toyota corona mark ii,24,113,2372,70,3
plymouth duster,22,198,2833,70,1
amc hornet,18,199,2774,70,1
ford maverick,21,200,2587,70,1
datsun pl510,27,97,2130,70,3
volkswagen 1131 deluxe sedan,26,97,1835,70,2
peugeot 504,25,110,2672,70,2
audi 100 ls,24,107,2430,70,2
saab 99e,25,104,2375,70,2
bmw 2002,26,121,2234,70,2
amc gremlin,21,199,2648,70,1
ford f250,10,360,4615,70,1
chevy c20,10,307,4376,70,1
dodge d200,11,318,4382,70,1
hi 1200d,9,304,4732,70,1
datsun pl510,27,97,2130,71,3
chevrolet vega 2300,28,140,2264,71,1
toyota corona,25,113,2228,71,3
ford pinto,25,98,2046,71,1
amc gremlin,19,232,2634,71,1
plymouth satellite custom,16,225,3439,71,1
chevrolet chevelle malibu,17,250,3329,71,1
ford torino 500,19,250,3302,71,1
amc matador,18,232,3288,71,1
chevrolet impala,14,350,4209,71,1
pontiac catalina brougham,14,400,4464,71,1
ford galaxie 500,14,351,4154,71,1
plymouth fury iii,14,318,4096,71,1
dodge monaco (sw),12,383,4955,71,1
ford country squire (sw),13,400,4746,71,1
pontiac safari (sw),13,400,5140,71,1
amc hornet sportabout (sw),18,258,2962,71,1
chevrolet vega (sw),22,140,2408,71,1
pontiac firebird,19,250,3282,71,1
ford mustang,18,250,3139,71,1
mercury capri 2000,23,122,2220,71,1
opel 1900,28,116,2123,71,2
peugeot 304,30,79,2074,71,2
fiat 124b,30,88,2065,71,2
toyota corolla 1200,31,71,1773,71,3
datsun 1200,35,72,1613,71,3
volkswagen model 111,27,97,1834,71,2
plymouth cricket,26,91,1955,71,1
toyota corona hardtop,24,113,2278,72,3
dodge colt hardtop,25,97.5,2126,72,1
volkswagen type 3,23,97,2254,72,2
chevrolet vega,20,140,2408,72,1
ford pinto runabout,21,122,2226,72,1
chevrolet impala,13,350,4274,72,1
pontiac catalina,14,400,4385,72,1
plymouth fury iii,15,318,4135,72,1
ford galaxie 500,14,351,4129,72,1
amc ambassador sst,17,304,3672,72,1
mercury marquis,11,429,4633,72,1
buick lesabre custom,13,350,4502,72,1
oldsmobile delta 88 royale,12,350,4456,72,1
chrysler newport royal,13,400,4422,72,1
mazda rx2 coupe,19,70,2330,72,3
amc matador (sw),15,304,3892,72,1
chevrolet chevelle concours (sw),13,307,4098,72,1
