,Algebra,Analysis,Proba,Informatic,Economy,English
1,40,26,26,26,51.9,19
2,37,34.5,37,32,72,26
3,37,41,29,34.5,72,19.6
4,63,37.5,57,35.5,77.4,21
5,55,31.5,34,36,57.9,24
6,50,38,32,20,66.9,22.2
7,49,32.5,20,45,68.4,26
8,42,34,34,20,72,23
9,20,37,14,20,63,14.8
10,53,42,53,22.5,78.9,26
11,62,31,48,37.5,42,18.8
12,42,44,34,29,77.4,20
13,36,32.5,54,29.5,78.9,26
14,40,22,16,24,66,20.2
15,38,33,33,18.5,67.5,23
16,44,33,29,25.5,66.9,25.2
17,48,35.5,39,51,73.5,27.4
18,31,31,11,15,63.9,18.8
19,47,22,42,54,66,27
20,52,50,61,39.5,84.9,30
21,50,37.5,36,42,78,18.5
22,31,32.5,43,32,72.9,16
23,60,39,54,21,59.4,21.8
24,49,46,30,36,73.5,21.5
25,50,35,44,23.5,78,20.6
26,42,37,41,22.5,69.9,24.2
27,42,33,15,17.5,73.5,21.4
28,42,43,43,28.5,60,22.2
29,56,21,22,20,90.9,31
30,55,32.5,27,30.5,72,16.8
31,41,31,15,24,78.9,27
32,41,32,32,28,64.5,17
33,47,34,24,25,60.9,21.4
34,48,33,34,19.5,69.9,22
35,50,28,26,22,76.5,17
36,46,23,24,15.5,71.4,19
37,36,29,8,20.5,57,24.4
38,50,26,18,18,53.4,11.2
39,41,19,9,17,63.9,20
40,53,26,32,17.5,70.5,22
41,54,35.5,31,23,66,21.6
42,39,31,23,26.5,72,17.5
43,70,39,47,40.5,69,23.2
44,38,27.5,19,26.5,72,18.4
45,37,20,35,17.5,69,21
46,58,20,16,46.5,76.5,20
47,58,46,17,41,78.9,12
48,46,43,26,23.5,60.9,12
49,47,48,44,27.5,67.5,18
50,48,28.5,28,27.5,77.4,22
51,46,29.5,28,24,81,22
52,35,22.5,11,17.5,77.4,25.4
53,65,50,53,35.5,83.4,20
54,68,50,48,48,74.4,21.4
55,66,58,47,39.5,66.9,12
56,37,33,19,25.5,66.9,24.6
57,41,44,31,26.5,66.9,27
58,52,35,52,24.5,77.4,30.4
59,42,40,26,28,67.5,16
60,54,48,50,34.5,72,23.8
61,46,45,32,25.5,74.4,18.2
62,47,45,24,21.5,73.5,20
63,56,45,29,27.5,60,21.2
64,40,29.5,32,26,60,21.2
65,40,29.5,32,26,60,21.2
66,34,16,28,26.5,59.4,24
67,35,30,23,23,84,26.6
68,38,22.5,24,20,65.4,21
69,40,30,22,21,71.4,18.4
70,58,34.5,33,31.5,76.5,22.4
71,53,24.5,45,28,66,20.2
72,17,35,28,10.5,34.5,8.5
73,48,47,52,27.5,84,17
74,47,32.5,21,24,75,22
75,50,32,30,12.5,69,12.8
76,37,32,15,21,72,23
77,35,29,22,19.5,72,20.2
78,37,24.5,23,24.5,67.5,21.2
79,55,45,52,29,78.9,21
80,41,23,4,17,80.4,24
81,34,32.5,22,20.5,72,20.8
82,38,24.5,39,25.5,48,18
83,43,32.5,33,24.5,62.4,20
84,41,18,19,25.5,86.7,30.8
85,46,37,36,23,75,23
86,72,40,49,17,84,21.5
87,50,46,43,31.5,69.9,23
88,53,34.5,65,24.5,81.9,26
89,46,54,36,31.5,78.9,19.2
90,9,18,21,33,36.9,16
91,39,18,14,30,65.4,14
92,33,24,27,26,63,29.2
93,39,33,18,26.5,60,19
94,40,30,29,25,64.5,15.8
95,27,26,2,15,64.5,21
96,62,47,62,34.5,71.4,26
97,51,35.5,39,40,63.9,24
98,45,34,19,30,74.4,24.6
99,57,30.5,24,20,68.4,22.6
100,60,41,18,30,66,17.2
101,48,44,22,30,66.9,19.6
102,44,45,42,35,63.9,18.4
103,47,32,26,21,84,19
104,44,32,42,26.5,72,23
