,Team,BA,AB,H,Double,Triple,HR,RBI,K,BB,SH,Steel
Kaito Kozono,C,0.28,540,151,15,3,2,61,53,30,7,13
Shogo Akiyama,C,0.289,547,158,20,1,4,30,96,29,2,6
Masaya Yano,C,0.26,430,112,13,6,2,38,109,38,20,13
Ryosuke Kikuchi,C,0.241,453,109,19,0,9,38,69,25,17,2
Shogo Sakakura,C,0.279,427,119,19,1,12,44,80,31,1,3
Takayoshi Noma,C,0.271,391,106,14,5,1,28,52,43,3,8
Shota Dobayashi,C,0.23,244,56,13,0,1,17,67,16,9,0
Shoichi Futamata,C,0.196,107,21,4,0,1,7,26,8,6,1
Shota Suekane,C,0.238,286,68,14,0,9,37,85,12,0,1
Minoru Omori,C,0.226,31,7,2,0,0,4,10,2,2,2
Kosuke Tanaka,C,0.156,96,15,2,0,2,7,26,9,0,1
Ryuhei Matsuyama,C,0.178,73,13,4,0,1,10,12,4,0,0
Takashi Uemoto,C,0.209,129,27,2,0,0,7,24,4,9,0
Tsubasa Aizawa,C,0.187,150,28,6,0,0,13,43,7,0,0
Takanori Ishihara,C,0.23,122,28,6,0,3,11,22,5,5,0
Ryutaro Hatsuki,C,0.227,22,5,1,0,0,1,8,1,2,12
Takumu Nakano,T,0.232,547,127,20,2,1,32,97,46,35,6
Koji Chikamoto,T,0.285,562,160,16,5,6,45,93,68,0,19
Yusuke Oyama,T,0.259,483,125,18,0,14,68,88,52,0,0
Shota Morishita,T,0.275,458,126,24,2,16,73,78,53,0,0
Teruaki Sato,T,0.268,451,121,21,4,16,70,133,36,0,0
Seiya Kinami,T,0.214,359,77,13,1,1,35,64,32,13,1
Ukyo Maegawa,T,0.269,324,87,16,0,4,42,50,27,0,0
Ryutaro Umeno,T,0.209,268,56,9,0,0,15,84,30,17,0
Kento Itohara,T,0.216,111,24,2,0,0,9,20,15,0,0
Ryo Watanabe,T,0.26,123,32,5,0,2,11,34,11,0,0
Seishiro Sakamoto,T,0.223,193,43,3,0,0,12,38,12,10,0
Kairi Shimada,T,0.275,80,22,2,0,0,2,16,10,3,5
Kai Ueda,T,0.273,11,3,0,1,0,3,3,0,0,4
Fumihito Haraguchi,T,0.241,58,14,1,0,2,9,14,5,0,1
Ryuhei Obata,T,0.241,116,28,3,1,1,9,27,12,7,2
Naoki Yoshikawa,G,0.287,536,154,25,4,5,46,61,41,13,12
Kazuma Okamoto,G,0.28,535,150,37,0,27,83,97,66,0,1
Yoshihiro Maru,G,0.278,525,146,18,1,14,45,93,65,0,8
Makoto Kadowaki,G,0.243,350,85,9,1,0,21,63,37,16,9
Hayato Sakamoto,G,0.238,395,94,14,0,7,34,72,27,0,1
Takumi Oshiro,G,0.254,283,72,17,0,3,27,62,31,0,0
Yukinori Kishida,G,0.242,269,65,10,1,4,26,43,14,9,2
Louis Okoye,G,0.261,138,36,9,0,3,13,35,9,8,4
Yuta Izuguchi,G,0.201,164,33,6,1,1,9,24,18,3,1
Shunsuke Sasaki,G,0.231,143,33,5,1,0,6,44,9,3,2
Masaya Hagio,G,0.215,149,32,8,2,2,12,41,11,1,0
Elier Hernandez,G,0.294,221,65,11,0,8,30,58,15,0,0
Hisayoshi Chono,G,0.258,89,23,3,1,0,14,25,9,0,1
Keita Sano,De,0.273,524,143,34,0,8,62,53,35,0,0
Shugo Maki,De,0.294,517,152,33,0,23,74,59,37,0,11
Toshiro Miyazaki,De,0.283,410,116,24,0,14,56,29,52,0,1
Yudai Yamamoto,De,0.291,358,104,14,2,5,37,41,27,9,1
Masashi Kuwahara,De,0.27,285,77,12,0,5,24,42,19,9,8
Tyler Austion,De,0.316,396,125,34,2,25,69,88,45,0,0
Yota Kyoda,De,0.245,216,53,7,1,1,27,43,13,4,3
Koki Kajiwara,De,0.292,339,99,16,3,4,30,98,7,1,16
Tatsuhiro Shibata,De,0.261,23,6,0,0,0,2,7,3,7,1
Taiki Sekine,De,0.227,128,29,2,0,0,4,19,11,1,2
Tatsuo Ebina,De,0.256,223,57,13,0,3,17,51,17,6,3
Ryuki Watarai,De,0.255,251,64,7,1,3,24,43,12,1,2
Keito Mori,De,0.251,187,47,12,1,0,5,43,12,0,8
