,Name,Type,Total,HP,Attack,Defense,Special.Attack,Special.Defense,Speed,Legendary
1,Bulbasaur,Grass,318,45,49,49,65,65,45,FALSE
2,Ivysaur,Grass,405,60,62,63,80,80,60,FALSE
3,Venusaur,Grass,525,80,82,83,100,100,80,FALSE
4,Mega Venusaur,Grass,625,80,100,123,122,120,80,FALSE
5,Gigantamax Venusaur,Grass,525,80,82,83,100,100,80,FALSE
6,Charmander,Fire,309,39,52,43,60,50,65,FALSE
7,Charmeleon,Fire,405,58,64,58,80,65,80,FALSE
8,Charizard,Fire,534,78,84,78,109,85,100,FALSE
9,Mega Charizard X,Fire,634,78,130,111,130,85,100,FALSE
10,Mega Charizard Y,Fire,634,78,104,78,159,115,100,FALSE
11,Gigantamax Charizard,Fire,534,78,84,78,109,85,100,FALSE
12,Squirtle,Water,314,44,48,65,50,64,43,FALSE
13,Wartortle,Water,405,59,63,80,65,80,58,FALSE
14,Blastoise,Water,530,79,83,100,85,105,78,FALSE
15,Mega Blastoise,Water,630,79,103,120,135,115,78,FALSE
16,Gigantamax Blasoise,Blastoise,530,79,83,100,85,105,78,FALSE
17,Caterpie,Bug,195,45,30,35,20,20,45,FALSE
18,Metapod,Bug,205,50,20,55,25,25,30,FALSE
19,Butterfree,Bug,395,60,45,50,90,80,70,FALSE
20,Gigantamax Butterfree,Bug,395,60,45,50,90,80,70,FALSE
21,Weedle,Bug,195,40,35,30,20,20,50,FALSE
22,Kakuna,Bug,205,45,25,50,25,25,35,FALSE
23,Beedrill,Bug,395,65,90,40,45,80,75,FALSE
24,Mega Beedrill,Bug,495,65,150,40,15,80,145,FALSE
25,Pidgey,Normal,251,40,45,40,35,35,56,FALSE
26,Pidgeotto,Normal,349,63,60,55,50,50,71,FALSE
27,Pidgeot,Normal,479,83,80,75,70,70,101,FALSE
28,Mega Pidgeot,Normal,579,83,80,80,135,80,121,FALSE
29,Rattata,Normal,253,30,56,35,25,35,72,FALSE
31,Raticate,Normal,413,55,81,60,50,70,97,FALSE
33,Spearow,Normal,262,40,60,30,31,31,70,FALSE
34,Fearow,Normal,442,65,90,65,61,61,100,FALSE
35,Ekans,Poison,288,35,60,44,40,54,55,FALSE
36,Arbok,Poison,438,60,85,69,65,79,80,FALSE
37,Pikachu,Electric,320,35,55,40,50,50,90,FALSE
38,Gigantamax Pikachu,Electric,320,35,55,40,50,50,90,FALSE
39,Raichu,Electric,485,60,90,55,90,80,110,FALSE
41,Sandshrew,Ground,300,50,75,85,20,30,40,FALSE
43,Sandslash,Ground,450,75,100,110,45,55,65,FALSE
45,Nidoranâ™,Poison,275,55,47,52,40,40,41,FALSE
46,Nidorina,Poison,365,70,62,67,55,55,56,FALSE
47,Nidoqueen,Poison,505,90,92,87,75,85,76,FALSE
48,Nidoranâ™,Poison,273,46,57,40,40,40,50,FALSE
49,Nidorino,Poison,365,61,72,57,55,55,65,FALSE
50,Nidoking,Poison,505,81,102,77,85,75,85,FALSE
51,Clefairy,Fairy,323,70,45,48,60,65,35,FALSE
52,Clefable,Fairy,483,95,70,73,95,90,60,FALSE
53,Vulpix,Fire,299,38,41,40,50,65,65,FALSE
